SCORE,TREATMENT
5,EXTRINSIC
5.400000095367432,EXTRINSIC
6.099999904632568,EXTRINSIC
10.899999618530273,EXTRINSIC
11.800000190734863,EXTRINSIC
12,EXTRINSIC
12.300000190734863,EXTRINSIC
14.800000190734863,EXTRINSIC
15,EXTRINSIC
16.799999237060547,EXTRINSIC
17.200000762939453,EXTRINSIC
17.200000762939453,EXTRINSIC
17.399999618530273,EXTRINSIC
17.5,EXTRINSIC
18.5,EXTRINSIC
18.700000762939453,EXTRINSIC
18.700000762939453,EXTRINSIC
19.200000762939453,EXTRINSIC
19.5,EXTRINSIC
20.700000762939453,EXTRINSIC
21.200000762939453,EXTRINSIC
22.100000381469727,EXTRINSIC
24,EXTRINSIC
12,INTRINSIC
12,INTRINSIC
12.899999618530273,INTRINSIC
13.600000381469727,INTRINSIC
16.600000381469727,INTRINSIC
17.200000762939453,INTRINSIC
17.5,INTRINSIC
18.200000762939453,INTRINSIC
19.100000381469727,INTRINSIC
19.299999237060547,INTRINSIC
19.799999237060547,INTRINSIC
20.299999237060547,INTRINSIC
20.5,INTRINSIC
20.600000381469727,INTRINSIC
21.299999237060547,INTRINSIC
21.600000381469727,INTRINSIC
22.100000381469727,INTRINSIC
22.200000762939453,INTRINSIC
22.600000381469727,INTRINSIC
23.100000381469727,INTRINSIC
24,INTRINSIC
24.299999237060547,INTRINSIC
26.700000762939453,INTRINSIC
29.700000762939453,INTRINSIC
