"HUMERUS","STATUS"
659,"PERISHED"
689,"PERISHED"
703,"PERISHED"
702,"PERISHED"
709,"PERISHED"
713,"PERISHED"
720,"PERISHED"
729,"PERISHED"
726,"PERISHED"
726,"PERISHED"
720,"PERISHED"
737,"PERISHED"
739,"PERISHED"
731,"PERISHED"
738,"PERISHED"
736,"PERISHED"
738,"PERISHED"
744,"PERISHED"
745,"PERISHED"
743,"PERISHED"
754,"PERISHED"
752,"PERISHED"
752,"PERISHED"
765,"PERISHED"
687,"SURVIVED"
703,"SURVIVED"
709,"SURVIVED"
715,"SURVIVED"
728,"SURVIVED"
721,"SURVIVED"
729,"SURVIVED"
723,"SURVIVED"
728,"SURVIVED"
723,"SURVIVED"
726,"SURVIVED"
728,"SURVIVED"
736,"SURVIVED"
733,"SURVIVED"
730,"SURVIVED"
733,"SURVIVED"
730,"SURVIVED"
739,"SURVIVED"
735,"SURVIVED"
741,"SURVIVED"
741,"SURVIVED"
749,"SURVIVED"
741,"SURVIVED"
743,"SURVIVED"
741,"SURVIVED"
752,"SURVIVED"
752,"SURVIVED"
751,"SURVIVED"
756,"SURVIVED"
755,"SURVIVED"
766,"SURVIVED"
767,"SURVIVED"
769,"SURVIVED"
770,"SURVIVED"
780,"SURVIVED"
