"RAINFALL","TREATMENT"
1202.5999755859375,"UNSEEDED"
830.0999755859375,"UNSEEDED"
372.3999938964844,"UNSEEDED"
345.5,"UNSEEDED"
321.20001220703125,"UNSEEDED"
244.3000030517578,"UNSEEDED"
163,"UNSEEDED"
147.8000030517578,"UNSEEDED"
95,"UNSEEDED"
87,"UNSEEDED"
81.19999694824219,"UNSEEDED"
68.5,"UNSEEDED"
47.29999923706055,"UNSEEDED"
41.099998474121094,"UNSEEDED"
36.599998474121094,"UNSEEDED"
29,"UNSEEDED"
28.600000381469727,"UNSEEDED"
26.299999237060547,"UNSEEDED"
26.100000381469727,"UNSEEDED"
24.399999618530273,"UNSEEDED"
21.700000762939453,"UNSEEDED"
17.299999237060547,"UNSEEDED"
11.5,"UNSEEDED"
4.900000095367432,"UNSEEDED"
4.900000095367432,"UNSEEDED"
1,"UNSEEDED"
2745.60009765625,"SEEDED"
1697.800048828125,"SEEDED"
1656,"SEEDED"
978,"SEEDED"
703.4000244140625,"SEEDED"
489.1000061035156,"SEEDED"
430,"SEEDED"
334.1000061035156,"SEEDED"
302.79998779296875,"SEEDED"
274.70001220703125,"SEEDED"
274.70001220703125,"SEEDED"
255,"SEEDED"
242.5,"SEEDED"
200.6999969482422,"SEEDED"
198.60000610351562,"SEEDED"
129.60000610351562,"SEEDED"
119,"SEEDED"
118.30000305175781,"SEEDED"
115.30000305175781,"SEEDED"
92.4000015258789,"SEEDED"
40.599998474121094,"SEEDED"
32.70000076293945,"SEEDED"
31.399999618530273,"SEEDED"
17.5,"SEEDED"
7.699999809265137,"SEEDED"
4.099999904632568,"SEEDED"
