"TIME","TREATMT","CENSOR"
68,"MODIFIED",0
70,"MODIFIED",0
73,"MODIFIED",0
75,"MODIFIED",0
77,"MODIFIED",0
80,"MODIFIED",0
80,"MODIFIED",0
132,"MODIFIED",0
148,"MODIFIED",0
155,"MODIFIED",0
183,"MODIFIED",0
197,"MODIFIED",0
206,"MODIFIED",0
210,"MODIFIED",0
130,"CONVENTIONAL",0
139,"CONVENTIONAL",0
146,"CONVENTIONAL",0
150,"CONVENTIONAL",0
161,"CONVENTIONAL",0
177,"CONVENTIONAL",0
228,"CONVENTIONAL",0
242,"CONVENTIONAL",0
265,"CONVENTIONAL",0
300,"CONVENTIONAL",1
300,"CONVENTIONAL",1
300,"CONVENTIONAL",1
300,"CONVENTIONAL",1
300,"CONVENTIONAL",1
