"SCORE","HANDICAP"
1.899999976158142,"NONE"
2.5,"NONE"
3,"NONE"
3.5999999046325684,"NONE"
4.099999904632568,"NONE"
4.199999809265137,"NONE"
4.900000095367432,"NONE"
5.099999904632568,"NONE"
5.400000095367432,"NONE"
5.900000095367432,"NONE"
6.099999904632568,"NONE"
6.699999809265137,"NONE"
7.400000095367432,"NONE"
7.800000190734863,"NONE"
1.899999976158142,"AMPUTEE"
2.5,"AMPUTEE"
2.5999999046325684,"AMPUTEE"
3.200000047683716,"AMPUTEE"
3.5999999046325684,"AMPUTEE"
3.799999952316284,"AMPUTEE"
4,"AMPUTEE"
4.599999904632568,"AMPUTEE"
5.300000190734863,"AMPUTEE"
5.5,"AMPUTEE"
5.800000190734863,"AMPUTEE"
5.900000095367432,"AMPUTEE"
6.099999904632568,"AMPUTEE"
7.199999809265137,"AMPUTEE"
3.700000047683716,"CRUTCHES"
4,"CRUTCHES"
4.300000190734863,"CRUTCHES"
4.300000190734863,"CRUTCHES"
5.099999904632568,"CRUTCHES"
5.800000190734863,"CRUTCHES"
6,"CRUTCHES"
6.199999809265137,"CRUTCHES"
6.300000190734863,"CRUTCHES"
6.400000095367432,"CRUTCHES"
7.400000095367432,"CRUTCHES"
7.400000095367432,"CRUTCHES"
7.5,"CRUTCHES"
8.5,"CRUTCHES"
1.399999976158142,"HEARING"
2.0999999046325684,"HEARING"
2.4000000953674316,"HEARING"
2.9000000953674316,"HEARING"
3.4000000953674316,"HEARING"
3.700000047683716,"HEARING"
3.9000000953674316,"HEARING"
4.199999809265137,"HEARING"
4.300000190734863,"HEARING"
4.699999809265137,"HEARING"
5.5,"HEARING"
5.800000190734863,"HEARING"
5.900000095367432,"HEARING"
6.5,"HEARING"
1.7000000476837158,"WHEELCHAIR"
2.799999952316284,"WHEELCHAIR"
3.5,"WHEELCHAIR"
4.699999809265137,"WHEELCHAIR"
4.800000190734863,"WHEELCHAIR"
5,"WHEELCHAIR"
5.300000190734863,"WHEELCHAIR"
6.099999904632568,"WHEELCHAIR"
6.099999904632568,"WHEELCHAIR"
6.199999809265137,"WHEELCHAIR"
6.400000095367432,"WHEELCHAIR"
7.199999809265137,"WHEELCHAIR"
7.400000095367432,"WHEELCHAIR"
7.599999904632568,"WHEELCHAIR"
