"PROPORTION","PAIR","LENGTH"
.43700000643730164,"PAIR 1",35
.5400000214576721,"PAIR 1",35
.49799999594688416,"PAIR 1",35
.6549999713897705,"PAIR 1",35
.531000018119812,"PAIR 1",35
.5299999713897705,"PAIR 1",35
.6230000257492065,"PAIR 1",35
.49399998784065247,"PAIR 1",35
.4569999873638153,"PAIR 1",35
.5659999847412109,"PAIR 1",35
.5899999737739563,"PAIR 1",35
.6779999732971191,"PAIR 1",35
.7329999804496765,"PAIR 1",35
.43799999356269836,"PAIR 1",35
.6740000247955322,"PAIR 1",35
.5809999704360962,"PAIR 1",35
.5249999761581421,"PAIR 2",31
.656000018119812,"PAIR 2",31
.6850000023841858,"PAIR 2",31
.45899999141693115,"PAIR 2",31
.8019999861717224,"PAIR 2",31
.6700000166893005,"PAIR 2",31
.7300000190734863,"PAIR 2",31
.7170000076293945,"PAIR 2",31
.550000011920929,"PAIR 2",31
.699999988079071,"PAIR 2",31
.6320000290870667,"PAIR 2",31
.3959999978542328,"PAIR 2",31
.4099999964237213,"PAIR 2",31
.5920000076293945,"PAIR 2",31
.9100000262260437,"PAIR 3",33
.6200000047683716,"PAIR 3",33
.10000000149011612,"PAIR 3",33
.8379999995231628,"PAIR 3",33
.9129999876022339,"PAIR 3",33
.5630000233650208,"PAIR 3",33
.8360000252723694,"PAIR 3",33
.5329999923706055,"PAIR 3",33
.36500000953674316,"PAIR 3",33
.6539999842643738,"PAIR 3",33
.48100000619888306,"PAIR 3",33
.5059999823570251,"PAIR 3",33
.40400001406669617,"PAIR 3",33
.906000018119812,"PAIR 3",33
.7490000128746033,"PAIR 3",33
.5600000023841858,"PAIR 3",33
.675000011920929,"PAIR 3",33
.722000002861023,"PAIR 4",34
.5849999785423279,"PAIR 4",34
.5099999904632568,"PAIR 4",34
.5680000185966492,"PAIR 4",34
.9240000247955322,"PAIR 4",34
.5529999732971191,"PAIR 4",34
.5929999947547913,"PAIR 4",34
.41999998688697815,"PAIR 4",34
.6850000023841858,"PAIR 4",34
.7839999794960022,"PAIR 4",34
.6959999799728394,"PAIR 4",34
.8920000195503235,"PAIR 4",34
.6729999780654907,"PAIR 4",34
.7749999761581421,"PAIR 4",34
.7829999923706055,"PAIR 5",28
.6600000262260437,"PAIR 5",28
.47699999809265137,"PAIR 5",28
.7749999761581421,"PAIR 5",28
.5830000042915344,"PAIR 5",28
.6110000014305115,"PAIR 5",28
.6510000228881836,"PAIR 5",28
.6290000081062317,"PAIR 5",28
.6100000143051147,"PAIR 5",28
.33399999141693115,"PAIR 6",34
.421999990940094,"PAIR 6",34
.35600000619888306,"PAIR 6",34
.7990000247955322,"PAIR 6",34
.5899999737739563,"PAIR 6",34
.5809999704360962,"PAIR 6",34
.6420000195503235,"PAIR 6",34
.828000009059906,"PAIR 6",34
.7570000290870667,"PAIR 6",34
.6629999876022339,"PAIR 6",34
.5630000233650208,"PAIR 6",34
.8450000286102295,"PAIR 6",34
.6110000014305115,"PAIR 6",34
.8759999871253967,"PAIR 6",34
