"MASS","TYPE","ENERGY"
779,"non-echolocating bats",43.70000076293945
628,"non-echolocating bats",34.79999923706055
258,"non-echolocating bats",23.299999237060547
315,"non-echolocating bats",22.399999618530273
24.299999237060547,"non-echolocating birds",2.4600000381469727
35,"non-echolocating birds",3.930000066757202
72.80000305175781,"non-echolocating birds",9.149999618530273
120,"non-echolocating birds",13.800000190734863
213,"non-echolocating birds",14.600000381469727
275,"non-echolocating birds",22.799999237060547
370,"non-echolocating birds",26.200000762939453
384,"non-echolocating birds",25.899999618530273
442,"non-echolocating birds",29.5
412,"non-echolocating birds",43.70000076293945
330,"non-echolocating birds",34
480,"non-echolocating birds",27.799999237060547
93,"echolocating bats",8.829999923706055
8,"echolocating bats",1.350000023841858
6.699999809265137,"echolocating bats",1.1200000047683716
7.699999809265137,"echolocating bats",1.0199999809265137
