"STATE","SAT","TAKERS","INCOME","YEARS","PUBLIC","EXPEND","RANK"
"Iowa",1088,3,326,16.790000915527344,87.80000305175781,25.600000381469727,89.69999694824219
"SouthDakota",1075,2,264,16.06999969482422,86.19999694824219,19.950000762939453,90.5999984741211
"NorthDakota",1068,3,317,16.56999969482422,88.30000305175781,20.6200008392334,89.80000305175781
"Kansas",1045,5,338,16.299999237060547,83.9000015258789,27.139999389648438,86.30000305175781
"Nebraska",1045,5,293,17.25,83.5999984741211,21.049999237060547,88.5
"Montana",1033,8,263,15.90999984741211,93.69999694824219,29.479999542236328,86.4000015258789
"Minnesota",1028,7,343,17.40999984741211,78.30000305175781,24.84000015258789,83.4000015258789
"Utah",1022,4,333,16.56999969482422,75.19999694824219,17.420000076293945,85.9000015258789
"Wyoming",1017,5,328,16.010000228881836,97,25.959999084472656,87.5
"Wisconsin",1011,10,304,16.850000381469727,77.30000305175781,27.690000534057617,84.19999694824219
"Oklahoma",1001,5,358,15.949999809265137,74.19999694824219,20.06999969482422,85.5999984741211
"Arkansas",999,4,295,15.489999771118164,86.4000015258789,15.710000038146973,89.19999694824219
"Tennessee",999,9,330,15.720000267028809,61.20000076293945,14.579999923706055,83.4000015258789
"NewMexico",997,8,316,15.920000076293945,79.5,22.190000534057617,83.69999694824219
"Idaho",995,7,285,16.18000030517578,92.0999984741211,17.799999237060547,85.9000015258789
"Mississippi",988,3,315,16.760000228881836,67.9000015258789,15.359999656677246,90.0999984741211
"Kentucky",985,6,330,16.610000610351562,71.4000015258789,15.6899995803833,86.4000015258789
"Colorado",983,16,333,16.829999923706055,88.30000305175781,26.559999465942383,81.80000305175781
"Washington",982,19,309,16.229999542236328,87.5,26.530000686645508,83.19999694824219
"Arizona",981,11,314,15.979999542236328,80.9000015258789,19.139999389648438,84.30000305175781
"Illinois",977,14,347,15.800000190734863,74.5999984741211,24.40999984741211,78.69999694824219
"Louisiana",975,5,394,16.850000381469727,44.79999923706055,19.719999313354492,82.9000015258789
"Missouri",975,10,322,16.420000076293945,67.69999694824219,20.790000915527344,80.5999984741211
"Michigan",973,10,335,16.5,80.69999694824219,24.610000610351562,81.80000305175781
"WestVirginia",968,7,292,17.079999923706055,90.5999984741211,18.15999984741211,86.19999694824219
"Alabama",964,6,313,16.3700008392334,69.5999984741211,13.84000015258789,83.9000015258789
"Ohio",958,16,306,16.520000457763672,71.5,21.43000030517578,79.5
"NewHampshire",925,56,248,16.350000381469727,78.0999984741211,20.329999923706055,73.5999984741211
"Alaska",923,31,401,15.319999694824219,96.5,50.099998474121094,79.5999984741211
"Nevada",917,18,288,14.729999542236328,89.0999984741211,21.790000915527344,81.0999984741211
"Oregon",908,40,261,14.479999542236328,92.0999984741211,30.489999771118164,79.30000305175781
"Vermont",904,54,225,16.5,84.19999694824219,20.170000076293945,75.80000305175781
"California",899,36,293,15.520000457763672,83,25.940000534057617,77.5
"Delaware",897,42,277,16.950000762939453,67.9000015258789,27.809999465942383,71.4000015258789
"Connecticut",896,69,287,16.75,76.80000305175781,26.969999313354492,69.80000305175781
"NewYork",896,59,236,16.860000610351562,80.4000015258789,33.58000183105469,70.5
"Maine",890,46,208,16.049999237060547,85.69999694824219,20.549999237060547,74.5999984741211
"Florida",889,39,255,15.90999984741211,80.5,22.6200008392334,74.5999984741211
"Maryland",889,50,312,16.899999618530273,80.4000015258789,25.40999984741211,71.5
"Virginia",888,52,295,16.079999923706055,88.80000305175781,22.229999542236328,72.4000015258789
"Massachusetts",888,65,246,16.790000915527344,80.69999694824219,31.739999771118164,69.9000015258789
"Pennsylvania",885,50,241,17.270000457763672,78.5999984741211,27.979999542236328,73.4000015258789
"RhodeIsland",877,59,228,16.670000076293945,79.69999694824219,25.59000015258789,71.4000015258789
"NewJersey",869,64,269,16.3700008392334,80.5999984741211,27.90999984741211,69.80000305175781
"Texas",868,32,303,14.949999809265137,91.69999694824219,19.549999237060547,76.4000015258789
"Indiana",860,48,258,14.390000343322754,90.19999694824219,17.93000030517578,74.0999984741211
"Hawaii",857,47,277,16.399999618530273,67.5999984741211,21.209999084472656,69.9000015258789
"NorthCarolina",827,47,224,15.3100004196167,92.80000305175781,19.920000076293945,75.30000305175781
"Georgia",823,51,250,15.550000190734863,86.5,16.520000457763672,74
"SouthCarolina",790,48,214,15.420000076293945,88.0999984741211,15.600000381469727,74
