"COVER","BLOCK","TREAT"
14,"BLOCK 1","CONTROL"
23,"BLOCK 1","CONTROL"
22,"BLOCK 2","CONTROL"
35,"BLOCK 2","CONTROL"
67,"BLOCK 3","CONTROL"
82,"BLOCK 3","CONTROL"
94,"BLOCK 4","CONTROL"
95,"BLOCK 4","CONTROL"
34,"BLOCK 5","CONTROL"
53,"BLOCK 5","CONTROL"
58,"BLOCK 6","CONTROL"
75,"BLOCK 6","CONTROL"
19,"BLOCK 7","CONTROL"
47,"BLOCK 7","CONTROL"
53,"BLOCK 8","CONTROL"
61,"BLOCK 8","CONTROL"
4,"BLOCK 1","L"
4,"BLOCK 1","L"
7,"BLOCK 2","L"
8,"BLOCK 2","L"
28,"BLOCK 3","L"
58,"BLOCK 3","L"
27,"BLOCK 4","L"
35,"BLOCK 4","L"
11,"BLOCK 5","L"
33,"BLOCK 5","L"
16,"BLOCK 6","L"
31,"BLOCK 6","L"
6,"BLOCK 7","L"
8,"BLOCK 7","L"
15,"BLOCK 8","L"
17,"BLOCK 8","L"
11,"BLOCK 1","f"
24,"BLOCK 1","f"
14,"BLOCK 2","f"
31,"BLOCK 2","f"
52,"BLOCK 3","f"
59,"BLOCK 3","f"
83,"BLOCK 4","f"
89,"BLOCK 4","f"
33,"BLOCK 5","f"
34,"BLOCK 5","f"
39,"BLOCK 6","f"
52,"BLOCK 6","f"
43,"BLOCK 7","f"
53,"BLOCK 7","f"
30,"BLOCK 8","f"
37,"BLOCK 8","f"
3,"BLOCK 1","Lf"
5,"BLOCK 1","Lf"
3,"BLOCK 2","Lf"
6,"BLOCK 2","Lf"
9,"BLOCK 3","Lf"
31,"BLOCK 3","Lf"
21,"BLOCK 4","Lf"
57,"BLOCK 4","Lf"
5,"BLOCK 5","Lf"
9,"BLOCK 5","Lf"
26,"BLOCK 6","Lf"
43,"BLOCK 6","Lf"
4,"BLOCK 7","Lf"
12,"BLOCK 7","Lf"
12,"BLOCK 8","Lf"
18,"BLOCK 8","Lf"
10,"BLOCK 1","fF"
13,"BLOCK 1","fF"
10,"BLOCK 2","fF"
15,"BLOCK 2","fF"
44,"BLOCK 3","fF"
50,"BLOCK 3","fF"
57,"BLOCK 4","fF"
73,"BLOCK 4","fF"
26,"BLOCK 5","fF"
42,"BLOCK 5","fF"
38,"BLOCK 6","fF"
42,"BLOCK 6","fF"
29,"BLOCK 7","fF"
36,"BLOCK 7","fF"
11,"BLOCK 8","fF"
40,"BLOCK 8","fF"
1,"BLOCK 1","LfF"
2,"BLOCK 1","LfF"
3,"BLOCK 2","LfF"
5,"BLOCK 2","LfF"
6,"BLOCK 3","LfF"
9,"BLOCK 3","LfF"
7,"BLOCK 4","LfF"
22,"BLOCK 4","LfF"
5,"BLOCK 5","LfF"
6,"BLOCK 5","LfF"
10,"BLOCK 6","LfF"
17,"BLOCK 6","LfF"
5,"BLOCK 7","LfF"
14,"BLOCK 7","LfF"
5,"BLOCK 8","LfF"
7,"BLOCK 8","LfF"
