"STRESS","SO2","O3","FORREST","WILLIAM"
"WELL-WATERED",.0044999998062849045,.017000000923871994,4376,5561
"WELL-WATERED",.0044999998062849045,.04899999871850014,4544,5947
"WELL-WATERED",.0044999998062849045,.06700000166893005,2806,4273
"WELL-WATERED",.0044999998062849045,.08399999886751175,3339,3470
"WELL-WATERED",.0044999998062849045,.0989999994635582,3320,3080
"WELL-WATERED",.017000000923871994,.017000000923871994,3747,5092
"WELL-WATERED",.017000000923871994,.04899999871850014,4570,4752
"WELL-WATERED",.017000000923871994,.06700000166893005,4635,4232
"WELL-WATERED",.017000000923871994,.08399999886751175,3613,2867
"WELL-WATERED",.017000000923871994,.0989999994635582,3259,3106
"WELL-WATERED",.05900000035762787,.017000000923871994,4179,4736
"WELL-WATERED",.05900000035762787,.04899999871850014,5077,3672
"WELL-WATERED",.05900000035762787,.06700000166893005,3401,3386
"WELL-WATERED",.05900000035762787,.08399999886751175,3371,2854
"WELL-WATERED",.05900000035762787,.0989999994635582,2158,2557
"STRESSED",.0044999998062849045,.017000000923871994,4977,4520
"STRESSED",.0044999998062849045,.04899999871850014,3780,3047
"STRESSED",.0044999998062849045,.06700000166893005,3804,3526
"STRESSED",.0044999998062849045,.08399999886751175,3941,3357
"STRESSED",.0044999998062849045,.0989999994635582,2863,2663
"STRESSED",.017000000923871994,.017000000923871994,5573,4869
"STRESSED",.017000000923871994,.04899999871850014,3555,3774
"STRESSED",.017000000923871994,.06700000166893005,3340,2955
"STRESSED",.017000000923871994,.08399999886751175,3243,3513
"STRESSED",.017000000923871994,.0989999994635582,2802,2838
"STRESSED",.05900000035762787,.017000000923871994,4589,4056
"STRESSED",.05900000035762787,.04899999871850014,3250,2758
"STRESSED",.05900000035762787,.06700000166893005,3045,3094
"STRESSED",.05900000035762787,.08399999886751175,2827,2398
"STRESSED",.05900000035762787,.0989999994635582,2979,2101
