"MONKEY","TREATMENT","WEEK2","WEEK4","WEEK8","WEEK12","WEEK16"
"Spank","CONTROL",95,75,80,65,70
"Chim","CONTROL",85,75,55,75,85
"Chak","CONTROL",75,95,60,40,45
"Alf","CONTROL",85,80,70,45,80
"Poet","CONTROL",65,80,75,65,65
"Jessie","CONTROL",70,90,85,75,75
"Phil","CONTROL",75,80,70,70,70
"Irv","TREATED",75,50,70,75,75
"Edy","TREATED",85,85,60,70,70
"Allen","TREATED",60,70,70,75,70
"Poe","TREATED",60,65,70,70,60
"Joey","TREATED",65,60,80,70,60
"Just","TREATED",55,70,60,65,75
"Junior","TREATED",60,55,75,70,50
"Andy","TREATED",55,65,45,70,65
"Sport","TREATED",60,70,70,85,70
"Cornelius","TREATED",45,60,65,65,70
"Duncan","TREATED",65,55,55,80,75
