"ISLAND","AREA","ATRISK","EXTINCT"
"Ulkokrunni",185.8000030517578,75,5
"Maakrunni",105.80000305175781,67,3
"Ristikari",30.700000762939453,66,10
"Isonkivenletto",8.5,51,6
"Hietakraasukka",4.800000190734863,28,3
"Kraasukka",4.5,20,4
"Lansiletto",4.300000190734863,43,8
"Pihlajakari",3.5999999046325684,31,3
"Tyni",2.5999999046325684,28,5
"Tasasenletto",1.7000000476837158,32,6
"Raiska",1.2000000476837158,30,8
"Pohjanletto",.699999988079071,20,2
"Toro",.699999988079071,31,9
"Luusiletto",.6000000238418579,16,5
"Vatunginletto",.4000000059604645,15,7
"Vatunginnokka",.30000001192092896,33,8
"Tiirakari",.20000000298023224,40,13
"Ristikarenletto",.07000000029802322,6,3
