"STATE","INCREASE","FATALITIESCHANGE"
"Alaska","No",-29
"Connecticut","No",-4.4
"Dist. of Columbia","No",-80
"Hawaii","No",-25
"Indiana","No",-13.2
"Kentucky","No",3.4
"Louisiana","No",-5.4
"Maine","No",-14.3
"Minnesota","No",10.8
"New Hampshire","No",-20
"New Jersey","No",44.1
"New York","No",-9.7
"North Dakota","No",-50
"Oregon","No",-16.4
"South Carolina","No",32.1
"Vermont","No",-41.2
"Virginia","No",-9.1
"West Virginia","No",23.2
"Wisconsin","No",41.4
"Arizona","Yes",0
"California","Yes",4.4
"Delaware","Yes",30
"Illinois","Yes",9.4
"Massachusetts","Yes",33.3
"Montana","Yes",17.9
"Nevada","Yes",17.9
"Oklahoma","Yes",34.1
"Pennsylvania","Yes",-7
"Texas","Yes",14.8
"Wyoming","Yes",-31.5
"Alabama","Yes",24.5
"Arkansas","Yes",41.3
"Colorado","Yes",-19.1
"Florida","Yes",8.2
"Georgia","Yes",32.1
"Idaho","Yes",-17.9
"Iowa","Yes",41.4
"Kansas","Yes",-13.3
"Maryland","Yes",-1.8
"Michigan","Yes",-7.9
"Mississippi","Yes",17.6
"Missouri","Yes",50.7
"Nebraska","Yes",62.5
"New Mexico","Yes",3.4
"North Carolina","Yes",5.4
"Ohio","Yes",1.6
"Rhode Island","Yes",18.2
"South Dakota","Yes",22.2
"Tennessee","Yes",4
"Utah","Yes",9.4
"Washington","Yes",34.3
