"IRON","SUPPLEMENT"
.7099999785423279,"Fe3"
1.659999966621399,"Fe3"
2.009999990463257,"Fe3"
2.1600000858306885,"Fe3"
2.4200000762939453,"Fe3"
2.4200000762939453,"Fe3"
2.559999942779541,"Fe3"
2.5999999046325684,"Fe3"
3.309999942779541,"Fe3"
3.640000104904175,"Fe3"
3.740000009536743,"Fe3"
3.740000009536743,"Fe3"
4.389999866485596,"Fe3"
4.5,"Fe3"
5.070000171661377,"Fe3"
5.260000228881836,"Fe3"
8.149999618530273,"Fe3"
8.239999771118164,"Fe3"
2.200000047683716,"Fe4"
2.690000057220459,"Fe4"
3.5399999618530273,"Fe4"
3.75,"Fe4"
3.8299999237060547,"Fe4"
4.079999923706055,"Fe4"
4.269999980926514,"Fe4"
4.53000020980835,"Fe4"
5.320000171661377,"Fe4"
6.179999828338623,"Fe4"
6.21999979019165,"Fe4"
6.329999923706055,"Fe4"
6.96999979019165,"Fe4"
6.96999979019165,"Fe4"
7.519999980926514,"Fe4"
8.359999656677246,"Fe4"
11.649999618530273,"Fe4"
12.449999809265137,"Fe4"
