"BRAINSIZE","LITTERSIZE"
.41999998688697815,"SMALL"
.8600000143051147,"SMALL"
.8799999952316284,"SMALL"
1.1100000143051147,"SMALL"
1.340000033378601,"SMALL"
1.3799999952316284,"SMALL"
1.4199999570846558,"SMALL"
1.4700000286102295,"SMALL"
1.6299999952316284,"SMALL"
1.7300000190734863,"SMALL"
2.1700000762939453,"SMALL"
2.4200000762939453,"SMALL"
2.4800000190734863,"SMALL"
2.740000009536743,"SMALL"
2.740000009536743,"SMALL"
2.7899999618530273,"SMALL"
2.9000000953674316,"SMALL"
3.119999885559082,"SMALL"
3.180000066757202,"SMALL"
3.2699999809265137,"SMALL"
3.299999952316284,"SMALL"
3.609999895095825,"SMALL"
3.630000114440918,"SMALL"
4.130000114440918,"SMALL"
4.400000095367432,"SMALL"
5,"SMALL"
5.199999809265137,"SMALL"
5.590000152587891,"SMALL"
7.039999961853027,"SMALL"
7.150000095367432,"SMALL"
7.25,"SMALL"
7.75,"SMALL"
8,"SMALL"
8.84000015258789,"SMALL"
9.300000190734863,"SMALL"
9.680000305175781,"SMALL"
10.319999694824219,"SMALL"
10.40999984741211,"SMALL"
10.479999542236328,"SMALL"
11.289999961853027,"SMALL"
12.300000190734863,"SMALL"
12.529999732971191,"SMALL"
12.6899995803833,"SMALL"
14.140000343322754,"SMALL"
14.149999618530273,"SMALL"
14.270000457763672,"SMALL"
14.5600004196167,"SMALL"
15.84000015258789,"SMALL"
18.549999237060547,"SMALL"
19.729999542236328,"SMALL"
20,"SMALL"
.9399999976158142,"LARGE"
1.2599999904632568,"LARGE"
1.440000057220459,"LARGE"
1.4900000095367432,"LARGE"
1.6299999952316284,"LARGE"
1.7999999523162842,"LARGE"
2,"LARGE"
2,"LARGE"
2.559999942779541,"LARGE"
2.5799999237060547,"LARGE"
3.240000009536743,"LARGE"
3.390000104904175,"LARGE"
3.5299999713897705,"LARGE"
3.7699999809265137,"LARGE"
4.360000133514404,"LARGE"
4.409999847412109,"LARGE"
4.599999904632568,"LARGE"
4.670000076293945,"LARGE"
5.389999866485596,"LARGE"
6.25,"LARGE"
7.019999980926514,"LARGE"
7.889999866485596,"LARGE"
7.96999979019165,"LARGE"
8,"LARGE"
8.279999732971191,"LARGE"
8.829999923706055,"LARGE"
8.90999984741211,"LARGE"
8.960000038146973,"LARGE"
9.920000076293945,"LARGE"
11.359999656677246,"LARGE"
12.149999618530273,"LARGE"
14.399999618530273,"LARGE"
16,"LARGE"
18.610000610351562,"LARGE"
18.75,"LARGE"
19.049999237060547,"LARGE"
21,"LARGE"
21.40999984741211,"LARGE"
23.270000457763672,"LARGE"
24.709999084472656,"LARGE"
25,"LARGE"
28.75,"LARGE"
30.229999542236328,"LARGE"
35.45000076293945,"LARGE"
36.349998474121094,"LARGE"
