"PROTEIN","TREATMNT","DAY","TRT/DAYGROUP"
154,"CPFA50","DAY1","GROUP1"
177,"CPFA50","DAY1","GROUP1"
174,"CPFA50","DAY1","GROUP1"
164,"CPFA150","DAY2","GROUP2"
192,"CPFA150","DAY2","GROUP2"
159,"CPFA150","DAY2","GROUP2"
157,"CPFA300","DAY3","GROUP3"
159,"CPFA300","DAY3","GROUP3"
124,"CPFA300","DAY3","GROUP3"
160,"CPFA450","DAY4","GROUP4"
152,"CPFA450","DAY4","GROUP4"
141,"CPFA450","DAY4","GROUP4"
147,"CPFA600","DAY5","GROUP5"
152,"CPFA600","DAY5","GROUP5"
158,"CPFA600","DAY5","GROUP5"
157,"CONTROL","DAY1","GROUP6"
165,"CONTROL","DAY1","GROUP6"
150,"CONTROL","DAY1","GROUP6"
186,"CONTROL","DAY2","GROUP7"
206,"CONTROL","DAY2","GROUP7"
195,"CONTROL","DAY2","GROUP7"
192,"CONTROL","DAY3","GROUP8"
202,"CONTROL","DAY3","GROUP8"
216,"CONTROL","DAY3","GROUP8"
190,"CONTROL","DAY4","GROUP9"
187,"CONTROL","DAY4","GROUP9"
160,"CONTROL","DAY4","GROUP9"
191,"CONTROL","DAY5","GROUP10"
188,"CONTROL","DAY5","GROUP10"
199,"CONTROL","DAY5","GROUP10"
