"year","denmark","netherlands","canada","usa"
1950,.512,.516,,
1951,.5174,.5158,,
1952,.5151,.5158,,
1953,.5175,.5156,,
1954,.5148,.5157,,
1955,.5169,.513,,
1956,.5153,.515,,
1957,.5161,.5147,,
1958,.515,.5139,,
1959,.5139,.5125,,
1960,.5121,.5135,,
1961,.5125,.5122,,
1962,.5122,.5121,,
1963,.5132,.5141,,
1964,.516,.5143,,
1965,.5148,.5141,,
1966,.5142,.5129,,
1967,.5135,.5135,,
1968,.5164,.5116,,
1969,.5171,.5135,,
1970,.514,.512,.5147,.5134
1971,.517,.5134,.5153,.5126
1972,.5126,.5112,.5148,.5125
1973,.5133,.5115,.5149,.5128
1974,.5127,.5132,.5141,.5133
1975,.5108,.5122,.5136,.5132
1976,.5169,.5148,.5135,.5128
1977,.5144,.5135,.5145,.5128
1978,.514,.5126,.5124,.5129
1979,.5141,.5123,.5146,.5127
1980,.5125,.5128,.5136,.5129
1981,.5108,.5107,.5133,.5126
1982,.5141,.5128,.5128,.5123
1983,.5117,.5113,.5145,.5127
1984,.5132,.5132,.5137,.5122
1985,.5111,.5111,.5144,.5126
1986,.5142,.5087,.5123,.5122
1987,.5173,.5136,.512,.512
1988,.5155,.5117,.5122,.5121
1989,.5132,.5096,.5123,.512
1990,.5145,.5132,.5136,.512
1991,.5131,.5114,,
1992,.5143,.5129,,
1993,.514,.5116,,
1994,.5116,.5128,,
