"continent","latitude","females","se","males","se","ratio","se"
"na",35.5,901,2.5,797,3.8,.831,.01
"na",37,896,3.5,806,3,.834,.014
"na",38.6,906,3,812,3.2,.836,.012
"na",40.7,907,3.5,807,3.2,.833,.013
"na",40.9,898,3.6,818,2.7,.83,.012
"na",42.4,893,3.4,809,3.3,.828,.015
"na",45,913,4.3,810,4.3,.834,.024
"na",46.8,915,3.8,819,3.3,.825,.014
"na",48.8,927,2,800,4.9,.832,.009
"na",49.8,924,4.5,823,2.2,.824,.011
"na",50.8,930,3.4,814,4.1,.826,.013
"eu",36.4,905,6.1,789,5.9,.822,.016
"eu",39.3,889,4.7,803,3.5,.809,.021
"eu",41.3,915,2.1,812,3.7,.821,.007
"eu",43.4,930,2.6,820,3.1,.831,.016
"eu",45.5,895,4.4,808,2.9,.821,.017
"eu",47.3,926,3.2,815,6.2,.826,.01
"eu",48.5,944,4.8,855,3.1,.825,.032
"eu",50.4,925,3.2,842,4.3,.82,.013
"eu",52.1,920,3.9,819,3.1,.834,.019
"eu",56.1,934,4.2,839,4.4,.825,.012
