"SPECIES","TIME","PAIRS","SIZE","STATUS"
"Sparrowhawk",3.0299999713897705,1,"L","R"
"Buzzard",5.464000225067139,2,"L","R"
"Kestrel",4.0980000495910645,1.2100000381469727,"L","R"
"Peregrine",1.680999994277954,1.125,"L","R"
"Grey_partridge",8.850000381469727,5.166999816894531,"L","R"
"Quail",1.4930000305175781,1,"L","M"
"Red-legged_partridge",7.691999912261963,2.75,"L","R"
"Pheasant",3.8459999561309814,5.630000114440918,"L","R"
"Water_rail",16.66699981689453,3,"L","R"
"Corncrake",4.218999862670898,4.670000076293945,"L","M"
"Moorhen",8.130000114440918,4.056000232696533,"L","R"
"Coot",5,1,"L","R"
"Lapwing",7.298999786376953,6.960000038146973,"L","M"
"Golden_plover",1,1.6699999570846558,"L","M"
"Ringed_plover",27.027000427246094,5.559999942779541,"L","R"
"Curlew",3.1059999465942383,2.8299999237060547,"L","M"
"Redshank",4,4.375,"L","M"
"Snipe",16.128999710083008,4.125,"L","M"
"Stock_dove",3.4839999675750732,3.6700000762939453,"L","R"
"Rock_dove",37.0369987487793,8.329999923706055,"L","R"
"Wood_pigeon",7.298999786376953,2.75,"L","R"
"Cuckoo",2.5250000953674316,1.4299999475479126,"L","M"
"Short-eared_owl",4.131999969482422,2,"L","R"
"Little_owl",2,2.75,"L","R"
"Magpie",10,4.5,"L","R"
"Jackdaw",2.6670000553131104,7.119999885559082,"L","R"
"Carrion_crow",4.586999893188477,4.579999923706055,"L","R"
"Raven",58.82400131225586,2.3499999046325684,"L","R"
"Skylark",32.257999420166016,6.869999885559082,"S","R"
"Swallow",2.571000099182129,3.8299999237060547,"S","M"
"House_martin",2.1600000858306885,5,"S","M"
"Yellow_wagtail",1,1.25,"S","M"
"Pied_wagtail",2.9670000076293945,2.2699999809265137,"S","R"
"Meadow_pipit",9.52400016784668,5.349999904632568,"S","R"
"Wren",11.111000061035156,8.699999809265137,"S","R"
"Dunnock",7.298999786376953,6.099999904632568,"S","R"
"Robin",4,3.3299999237060547,"S","R"
"Stonechat",2.38100004196167,3.640000104904175,"S","R"
"Wheatear",2.6110000610351562,4.829999923706055,"S","M"
"Blackbird",3.256999969482422,4.670000076293945,"S","R"
"Song_thrush",1.7009999752044678,1.7000000476837158,"S","R"
"Mistle_thrush",1.7949999570846558,1.3300000429153442,"S","R"
"Grasshopper_warbler",1.1979999542236328,1,"S","M"
"Sedge_warbler",3.184999942779541,1.899999976158142,"S","M"
"Whitethroat",2.2730000019073486,4.420000076293945,"S","M"
"Willow_warbler",1.1109999418258667,1.25,"S","M"
"Chiffchaff",1,1,"S","M"
"Goldcrest",1,1,"S","R"
"Spotted_flycatcher",1.2300000190734863,1,"S","M"
"Great_tit",6.060999870300293,2.5,"S","R"
"Blue_tit",3.174999952316284,1.5,"S","R"
"Yellowhammer",2,2.5,"S","R"
"Reed_bunting",5.076000213623047,5.630000114440918,"S","R"
"Chaffinch",1.934000015258789,2.369999885559082,"S","R"
"Goldfinch",1.4930000305175781,1.5,"S","R"
"Redpoll",1,1,"S","R"
"Linnet",5.1020002365112305,6.5,"S","R"
"House_sparrow",3.003000020980835,4.5,"S","R"
"Tree_sparrow",1.8980000019073486,2.1700000762939453,"S","R"
"Starling",41.66699981689453,11.619999885559082,"S","R"
"Pied_flycatcher",1,1,"S","M"
"Siskin",1,1,"S","R"
