"wage","educ","exper","black_ind","smsa_ind","region"
354.94,7,45,0,1,"NE"
370.37,9,9,0,1,"NE"
754.94,11,46,0,1,"NE"
593.54,12,36,0,1,"NE"
377.23,16,22,0,1,"NE"
284.9,8,51,0,1,"NE"
561.13,12,34,0,1,"NE"
264.06,12,0,0,1,"NE"
1643.83,14,18,0,1,"NE"
474.83,12,17,0,1,"NE"
299.15,8,42,0,1,"NE"
244.88,10,10,0,1,"NE"
474.83,14,19,0,0,"NE"
213.68,12,40,0,0,"NE"
864.2,16,42,0,0,"NE"
841.93,14,27,0,0,"NE"
301.96,16,-1,0,0,"NE"
669.28,12,17,0,0,"NE"
403.61,12,42,0,0,"NE"
403.61,12,25,0,0,"NE"
476.54,12,15,0,0,"NE"
536.56,16,26,0,0,"NE"
1018.52,11,4,0,1,"NE"
339.21,13,17,0,1,"NE"
546.06,12,16,0,1,"NE"
251.95,14,4,0,1,"NE"
522.32,16,20,0,1,"NE"
204.18,12,6,0,1,"NE"
1419.75,10,35,0,1,"NE"
208.5,10,4,0,1,"NE"
1283.53,16,10,0,0,"NE"
586.42,13,22,0,0,"NE"
750.24,12,20,0,0,"NE"
370.37,12,36,0,1,"NE"
510.45,12,10,0,1,"NE"
343.21,12,10,0,0,"NE"
795.35,12,12,0,0,"NE"
338.48,12,17,0,0,"NE"
997.15,18,14,0,1,"NE"
593.54,12,38,0,1,"NE"
420.23,16,6,0,1,"NE"
427.35,6,47,0,0,"NE"
522.32,12,26,0,0,"NE"
296.3,12,3,0,0,"NE"
783.48,18,12,0,0,"NE"
427.35,6,41,0,0,"NE"
712.25,12,18,0,1,"NE"
641.03,12,32,0,0,"NE"
759.73,13,28,0,1,"NE"
594.52,12,18,0,1,"NE"
771.6,15,18,0,1,"NE"
1851.85,17,14,0,1,"NE"
1009.02,14,9,0,1,"NE"
1210.83,18,13,0,1,"NE"
752.54,14,29,0,1,"NE"
246.91,16,20,0,1,"NE"
835.71,18,26,0,1,"NE"
1182.34,14,23,0,1,"NE"
1028.02,18,12,0,1,"NE"
688.51,18,5,0,1,"NE"
688.51,16,14,0,1,"NE"
358.02,12,1,0,1,"NE"
368,13,16,0,1,"NE"
197.53,11,1,0,1,"NE"
379.87,12,8,0,0,"NE"
432.1,17,7,0,0,"NE"
403.61,15,4,0,0,"NE"
189.93,12,28,0,0,"NE"
332.38,12,2,0,0,"NE"
474.83,12,22,0,1,"NE"
275.81,11,2,0,1,"NE"
522.32,14,10,0,1,"NE"
356.13,12,47,0,0,"NE"
546.06,12,24,0,0,"NE"
444.06,12,41,0,0,"NE"
