"species","bodymass","maxdist","type"
"Didelphis virginianus",2.4145,5.152,"O"
"Phascogale tapotafa",.172,6.8,"C"
"Trichosurus vulpecula",2.93,12.8,"C"
"Sorex araneus",.004,.869,"C"
"Scapanus townsendii",.148,.856,"O"
"Ursus americanus",104.45,225,"O"
"Ursus arctos",331,134,"O"
"Procyon lotor",7.8,265.5,"O"
"Martes americana",1.04,61,"C"
"Martes pennanti",2.9,23,"C"
"Mustela erminea",.067,5.6,"C"
"Mustela vison",1.1685,45.1,"C"
"Lutra canadensis",9.07,42,"C"
"Gulo gulo",14.4,300,"C"
"Taxidea taxus",6.975,110,"C"
"Meles meles",10.85,8.3,"O"
"Mephitis mephitis",2.909,8.3,"O"
"Canis latrans",14.06,232.2,"C"
"Canis lupus",41.38,432,"C"
"Vulpes vulpes",5.2,394,"C"
"Urocyon cinereoargenteus",4,83.68,"C"
"Felis concolor",53.05,274,"C"
"Lynx lynx",10.149,9.7,"C"
"Lynx rufus",8.9,182,"C"
"Castor canadensis",24.3,40.6,"H"
"Marmota flaviventris",5.448,1.4,"H"
"Marmota monax",3.4985,.768,"H"
"Spermophilus richardsonii",.405,.975,"H"
"Spermophilus beecheyi",.475,1.44,"H"
"Spermophilus beldingi",.4,.328,"H"
"Spermophilus leucopus",.192,.515,"H"
"Spermophilus tridecemliniatus",.14,.239,"H"
"Sciurus niger",.79,3.37,"H"
"Tamiasciurus hudsonicus",.2015,.6,"H"
"Thomomys bottae",.15,.3,"C"
"Perognathus formosa",.023,.853,"H"
"Dipodomys merriami",.0433,.25,"H"
"Dipodomys microps",.065,.434,"H"
"Dipodomys spectabilis",.115,2,"H"
"Neotoma cinerea",.36,2.2,"H"
"Clethrionomys glareolus",.023,.4,"H"
"Onychomys torridus",26.8,.329,"H"
"Microtus agrestis",.023,.193,"H"
"Microtus arvalis",.022,.2,"H"
"Microtus ochrogaster",.0305,.136,"H"
"Microtus oeconomus",.032,1,"H"
"Microtus pennsylvanicus",.04,.245,"H"
"Microtus townsendi",.032,.068,"H"
"Microtus xanthognathus",135,.3,"H"
"Peromyscus californicus",.018,.791,"H"
"Peromyscus longicaudus",.008,.235,"H"
"Peromyscus maniculatus",.015,1.005,"O"
"Apodemus sylvaticus",.02,.5,"H"
"Ondatra zibethicus",1.048,3.37,"H"
"Lepus americanus",1.43,20.1,"H"
"Lepus europea",4.5,9,"H"
"Lepus timidus",2.75,200,"H"
"Lepus californicus",2.2,45,"H"
"Sylvilagus bachmani",.841,.352,"H"
"Sylvilagus floridanus",1.15,3.9,"H"
"Odocoileus hemionus columbianus",64.638,15.2,"H"
"Odocoileus hemionus hemionus",67.125,8.22,"H"
"Alces alces",481.83,118,"H"
"Cervus canadensis",270,18.5,"H"
