"CITY","MORTALITY","PRECIP","HUMIDITY","JANTEMP","JULYTEMP","OVER65","HOUSE","EDUC","SOUND","DENSITY","NONWHITE","WHITECOL","POOR","HC","NOX","SO2"
"San Jose, CA",790.7329711914062,13,71,49,68,7,3.359999895095825,12.199999809265137,90.69999694824219,2702,3,51.900001525878906,9.699999809265137,105,32,3
"Wichita, KS",823.7639770507812,28,54,32,81,7,3.2699999809265137,12.100000381469727,81,3665,7.5,51.599998474121094,13.199999809265137,4,2,1
"San Diego, CA",839.708984375,10,61,55,70,7.300000190734863,3.109999895095825,12.100000381469727,88.9000015258789,3033,5.900000095367432,51,14,144,66,20
"Lancaster, PA",844.052978515625,43,54,32,74,10.100000381469727,3.380000114440918,9.5,79.19999694824219,3214,2.9000000953674316,43.70000076293945,12,11,7,32
"Minneapolis, MN",857.6220092773438,25,58,12,73,9.199999809265137,3.2799999713897705,12.100000381469727,83.0999984741211,2095,2,51.900001525878906,9.800000190734863,20,11,26
"Dallas, TX",860.1010131835938,35,54,46,85,7.099999904632568,3.2200000286102295,11.800000190734863,79.9000015258789,1441,14.800000190734863,51.20000076293945,16.100000381469727,1,1,1
"Miami, FL",861.4390258789062,60,60,67,82,10,2.9800000190734863,11.5,88.5999984741211,4657,13.5,47.29999923706055,22.399999618530273,3,1,1
"Los Angeles, CA",861.8330078125,11,47,53,68,9.199999809265137,2.990000009536743,12.100000381469727,90.5999984741211,4700,7.800000190734863,48.900001525878906,12.300000190734863,648,319,130
"Grand Rapids, MI",871.3380126953125,31,61,24,72,9,3.369999885559082,10.899999618530273,82.80000305175781,3226,5.099999904632568,45.20000076293945,12.300000190734863,5,3,10
"Denver, CO",871.7659912109375,15,38,30,73,8.199999809265137,3.1500000953674316,12.199999809265137,84.19999694824219,4824,4.699999809265137,53.099998474121094,12.699999809265137,17,8,28
"Rochester, NY",874.281005859375,32,60,25,72,10.899999618530273,3.2100000381469727,11.100000381469727,82.5,4355,5,46.400001525878906,10.800000190734863,7,4,18
"Hartford, CT",887.4660034179688,43,56,27,72,9,3.25,11.5,87.0999984741211,2909,7.199999809265137,51.599998474121094,9.5,7,3,10
"Fort Worth, TX",891.7080078125,31,53,45,85,7.300000190734863,3.2200000286102295,11.399999618530273,80.69999694824219,1844,11.5,48.099998474121094,18.5,1,1,1
"Portland, OR",893.9910278320312,37,73,38,67,11.300000190734863,2.990000009536743,12,81.5,3387,3.5999999046325684,50.29999923706055,13.5,56,21,44
"Worcester, MA",895.6959838867188,45,56,24,70,11.800000190734863,3.25,11.100000381469727,79.80000305175781,3678,1,44.79999923706055,14,7,3,8
"Seattle, WA",899.2639770507812,35,72,40,64,9.600000381469727,3.0199999809265137,12.199999809265137,82.5,3626,5.699999809265137,54.29999923706055,10.100000381469727,20,7,20
"Bridgeport, CT",899.5289916992188,45,56,30,73,9.300000190734863,3.2899999618530273,10.600000381469727,86,2140,5.300000190734863,40.400001525878906,10.5,6,4,4
"Springfield, MA",904.155029296875,45,56,28,74,10.600000381469727,3.2100000381469727,11.100000381469727,82.5999984741211,1883,3.4000000953674316,41.900001525878906,12.300000190734863,5,4,20
"San Francisco, CA",911.7009887695312,18,71,48,63,9.199999809265137,2.9200000762939453,12.199999809265137,87.69999694824219,4253,13.699999809265137,51.20000076293945,12,311,171,86
