"RIVER","COUNTRY","DISCHARG","RUNOFF","AREA","DENSITY","NO3","EXPORT","DEP","NPREC","PREC"
"Adige","Italy",223,18.299999237060547,1220,102,67,1224.699951171875,1237.5,46,84.80000305175781
"Amazon","S_America",175000,24.799999237060547,7050000,1,3,74.5,120.5999984741211,2.0999999046325684,181.10000610351562
"Caragh","Ireland",7.289999961853027,45.599998474121094,160,7.150000095367432,3.5999999046325684,164,86.5,2.5999999046325684,104.9000015258789
"Columbia","USA",7900,11.800000190734863,670000,10,26.600000381469727,313.6000061035156,62.79999923706055,2,99.0999984741211
"Danube","Rumania",6500,8.100000381469727,805000,90,46,371.3999938964844,826.4000244140625,45,57.900001525878906
"Delaware","USA",336,19.100000381469727,17600,100,61,1167.199951171875,851.7000122070312,25,107.4000015258789
"Fraser","Canada",3550,16.100000381469727,220000,2,6.400000095367432,103.30000305175781,739.7000122070312,16,145.8000030517578
"Ganges","India",16000,14.899999618530273,1070000,300,91.30000305175781,1361.4000244140625,294.29998779296875,5.800000190734863,160
"Glaama","Norway",706,16.899999618530273,41770,12,24,405.70001220703125,975,45,68.30000305175781
"Huanghe","China",1470,2,750000,200,139,272.6000061035156,286.3999938964844,28,32.29999923706055
"Hudson","USA",560,16.100000381469727,34700,150,47.79999923706055,771.4000244140625,851.7000122070312,25,107.4000015258789
"Kazan_and_Back","Canada",1900,6.099999904632568,312000,.4000000059604645,1.100000023841858,6.699999809265137,60.900001525878906,7,27.399999618530273
"Mackenzie","Canada",10600,5.900000095367432,1787000,.15000000596046448,5.699999809265137,33.79999923706055,73.9000015258789,7,33.29999923706055
"Magdalena","Columbia",7500,31.299999237060547,240000,30,17,531.2999877929688,87.5,2.5999999046325684,106.19999694824219
"Mekong","SE_Asia",15000,19.200000762939453,783000,43,17,325.70001220703125,334.1000061035156,7.599999904632568,139.1999969482422
"Mersey","England",21,17.5,1200,200,156,2730,919.4000244140625,28.899999618530273,100.30000305175781
"Meuse","Nthlnds/Belgium",317,9.100000381469727,34900,250,230,2089.10009765625,742.2999877929688,36,65
"Mississippi","USA",16100,5,3220000,30,63,315,691.7000122070312,19,114.80000305175781
"Murray-Darling","Australia",318.20001220703125,.30000001192092896,1073000,1.5,15,4.400000095367432,74.80000305175781,4.400000095367432,53.599998474121094
"Nelson","Canada",2370,2.200000047683716,1070000,2,5,11.100000381469727,248.60000610351562,21,37.29999923706055
"Niger","W_Africa",7000,6.199999809265137,1125000,20,7,43.599998474121094,555.2000122070312,9.600000381469727,181.60000610351562
"Nile","NE_Africa",950,.30000001192092896,2960000,50,20,6.400000095367432,50.900001525878906,10.199999809265137,15.699999809265137
"Orange","S_Africa",170,.20000000298023224,1020000,20,50,8.300000190734863,154.89999389648438,23,18.100000381469727
"Orinoco","Venezuela",33900,33.900001525878906,1e+06,2,6,203.39999389648438,92.5,3,97.30000305175781
"Parana","Argentina",15900,5.699999809265137,2800000,10,14.199999809265137,80.5999984741211,216.1999969482422,9.899999618530273,75.80000305175781
"Po","Italy",1470,22,66700,232,102,2247.300048828125,1237.5,46,84.80000305175781
"Rhine","Europe",2200,11.899999618530273,185300,300,286,3395.60009765625,1647.9000244140625,60,86.5999984741211
"Rhone","France",1700,17.700000762939453,96000,100,57.20000076293945,1012.9000244140625,695.9000244140625,30,73.19999694824219
"Shannon","Ireland",190,13.5,14000,35,54,727.7000122070312,252.8000030517578,8.600000381469727,92.69999694824219
"Stikine","Canada/USA",1100,22,50000,1,6.099999904632568,134.1999969482422,76.80000305175781,1,242.10000610351562
"St._Lawrence","Canada/USA",10700,10.399999618530273,1025000,15,16,167,673.2000122070312,21,101.0999984741211
"Susquehanna","USA",1100,15.100000381469727,73000,100,66,994.5,821.5,25,103.5999984741211
"Tees","England",50,27.700000762939453,1806,100,75,2076.5,608.7000122070312,33,58.20000076293945
"Thames","England",78,7.800000190734863,9950,400,520,4076.39990234375,1125.0999755859375,61,58.20000076293945
"Tiber","Italy",230,13.5,17000,262,100,1352.9000244140625,1237.5,46,84.80000305175781
"Uruguay","S_America",3850,10.5,365000,10,29,305.8999938964844,355.6000061035156,13.699999809265137,86.0999984741211
"Vistula","Poland",1100,5.5,200000,120,70.5,387.79998779296875,832.7999877929688,47,55.900001525878906
"Volga","Russia",8200,6.099999904632568,1350000,50,30,182.1999969482422,151.8000030517578,13,36.79999923706055
"Yangtze","China",29000,15.399999618530273,1900000,200,58.20000076293945,897,370.5,10,116.80000305175781
"Yukon","Canada",6180,7.400000095367432,831000,.4000000059604645,9.300000190734863,69.19999694824219,185.39999389648438,7.800000190734863,78.5
"Zaire","Zaire",39730,10.399999618530273,3820000,11.699999809265137,6,62.400001525878906,467.20001220703125,10,147.3000030517578
"Zambezi","SE_Africa",3200,2.5,1300000,15,9.300000190734863,22.899999618530273,138.5,8.399999618530273,51.79999923706055
