"county","buchanan2000","gore2000","bush2000","nader2000","browne2000","total2000","clinton96","dole96","perot96","buchanan96p","reform.reg","total.reg"
"ALACHUA",262,47300,34062,3215,658,85235,40144,25303,8072,2151,91,120867
"BAKER",73,2392,5610,53,17,8072,2273,3684,667,73,4,12352
"BAY",248,18850,38637,828,171,58486,17020,28290,5922,1816,55,92749
"BRADFORD",65,3072,5413,84,28,8597,3356,4038,819,155,3,13547
"BREVARD",570,97318,115185,4470,643,217616,80416,87980,25249,7927,148,283680
"BROWARD",789,386518,177279,7099,1212,572108,320736,142834,38964,10966,332,887764
"CALHOUN",90,2155,2873,39,10,5077,1794,1717,630,41,2,7234
"CHARLOTTE",182,29641,35419,1461,127,66648,27121,27836,7783,2982,41,98898
"CITRUS",270,25501,29744,1378,194,56817,22042,20114,7244,2293,44,81378
"CLAY",186,14630,41745,562,204,57141,13246,30332,3281,2351,40,86861
"COLLIER",122,29905,60426,1400,185,91916,23182,42590,6320,2722,118,123572
"COLUMBIA",89,7047,10964,258,127,18396,6691,7588,1970,657,35,31131
"DADE",561,328702,289456,5355,759,624272,317378,209634,24722,6349,217,896912
"DE SOTO",36,3322,4256,157,23,7758,3219,3272,965,189,7,15731
"DIXIE",29,1825,2698,75,32,4630,1731,1398,652,55,0,10511
"DUVAL",650,107680,152082,2752,954,263468,112258,126857,13844,7051,150,423967
"ESCAMBIA",504,40958,73029,1729,297,116013,37768,60839,8587,4977,130,171004
"FLAGLER",83,13891,12608,435,60,26994,9583,8232,2185,629,30,33466
"FRANKLIN",33,2042,2448,85,17,4592,2095,1563,878,32,0,7578
"GADSDEN",39,9565,4750,139,24,14478,9405,3813,938,138,11,26253
"GILCHRIST",29,1910,3300,97,52,5359,1985,1939,841,106,6,6878
"GLADES",9,1420,1840,56,12,3328,1530,1361,521,58,2,6326
"GULF",71,2389,3546,86,21,6042,2480,2424,1054,105,3,9923
"HAMILTON",24,1718,2153,39,11,3921,1734,1518,406,37,3,6939
"HARDEE",30,2341,3764,75,17,6197,2417,2926,851,97,4,10886
"HENDRY",22,3239,4743,103,11,8096,3882,3855,1135,183,10,16268
"HERNANDO",242,32644,30646,1501,116,64907,28520,22039,7272,2645,43,95549
"HIGHLANDS",99,14152,20196,409,51,34808,14244,15608,3739,1096,24,52941
"HILLSBOROUGH",836,166581,176967,7348,1104,352000,144223,136621,25154,7267,299,499427
"HOLMES",76,2154,4985,91,18,7248,2310,3248,1208,62,2,10317
"INDIAN RIVER",105,19769,28627,950,123,49469,16373,22709,4635,1797,66,71420
"JACKSON",102,6868,9138,138,40,16184,6665,7187,1602,390,8,23973
"JEFFERSON",29,3038,2481,76,14,5609,2543,1851,393,99,2,8161
"LAFAYETTE",10,788,1669,26,6,2489,829,1166,316,15,0,4036
"LAKE",289,36555,49963,1459,203,88180,25750,35089,8813,3531,80,131031
"LEE",305,73560,106141,3587,538,183826,65692,80882,18389,7359,113,252918
"LEON",282,61425,39053,1932,330,102740,50058,33914,6672,2222,80,146417
"LEVY",67,5403,6860,284,92,12639,4938,4299,1774,330,17,18671
"LIBERTY",39,1011,1316,19,12,2358,868,913,376,18,0,3752
"MADISON",29,3011,3038,54,18,6121,2791,2195,578,109,2,10378
"MANATEE",272,49169,57948,2489,243,109849,41835,44059,10360,4804,140,170578
"MARION",563,44648,55135,1810,361,101954,37033,41397,11340,862,108,147707
"MARTIN",108,26619,33864,1075,105,61663,20851,28516,5005,4483,48,86514
"MONROE",47,16483,16059,1090,162,33794,15219,12021,4817,2497,62,48409
"NASSAU",90,6952,16404,255,63,23674,7276,12134,1657,628,13,35170
"OKALOOSA",267,16924,52043,984,313,70264,16434,40631,5432,4147,96,111320
"OKEECHOBEE",43,4588,5058,131,21,9798,4824,3415,1666,149,27,17448
"ORANGE",446,140115,134476,3881,892,279364,105513,106026,18191,7203,199,404779
"OSCEOLA",145,28177,26216,732,309,55434,21870,18335,6091,1499,62,92196
"four",570,69550,68581,3392,412,141935,66472,48346,18011,4675,337,656694
"PINELLAS",1010,199660,184312,9986,1222,395180,184728,152125,36990,12116,167,221671
"POLK",538,74977,90101,2060,365,167503,66735,67943,14991,5157,425,574961
"PUTNAM",147,12091,13439,379,114,26023,12008,9781,3272,952,119,247807
"ST. JOHNS",229,19482,39497,1214,210,60403,10923,26244,4957,2536,27,40396
"ST. LUCIE",124,41559,34705,1368,165,77797,63648,69198,14939,5660,55,77778
"SANTA ROSA",311,12795,36248,723,131,49897,45051,59778,9357,4052,154,221945
"SARASOTA",305,72854,83100,4066,431,160451,16713,27311,4205,1885,81,190704
"SEMINOLE",194,58888,75293,1940,551,136672,36168,28892,8482,3229,59,89511
"SUMTER",114,9634,12126,307,53,22120,7014,5960,2375,481,25,117785
"SUWANNEE",108,4084,8014,182,53,12333,4479,5742,1874,376,21,31549
"TAYLOR",27,2647,4051,59,4,6761,3583,3188,1140,99,7,20617
"UNION",26,1399,2326,29,13,3767,1388,1636,425,45,3,12304
"VOLUSIA",396,97063,82214,2436,3211,184924,78905,63067,17319,4441,1,6752
"WAKULLA",46,3835,4511,149,30,8525,3054,2931,1091,133,176,260572
"WALTON",120,5637,12176,265,68,18146,5341,7706,2342,546,7,13382
"WASHINGTON",88,2796,4983,93,32,7904,2992,3522,1287,190,22,28144
"PALM BEACH",3407,268945,152846,5564,743,428098,230621,133762,30739,8788,9,14358
