"location","hybrid","yield"
"Crossville","Cargill7821",106
"Ames.un","Cargill7821",120
"Ames.irr","Cargill7821",143
"Knoxville","Cargill7821",174
"Milan","Cargill7821",186
"Ames.un","AsgrowRX799",99
"Crossville","AsgrowRX799",111
"Ames.irr","AsgrowRX799",147
"Knoxville","AsgrowRX799",169
"Milan","AsgrowRX799",200
"Ames.un","FFR739W",95
"Crossville","FFR739W",110
"Ames.irr","FFR739W",136
"Milan","FFR739W",187
"Knoxville","FFR739W",191
"Ames.un","Pioneer",111
"Crossville","Pioneer",112
"Ames.irr","Pioneer",131
"Knoxville","Pioneer",166
"Milan","Pioneer",188
"Ames.un","NorthrupKing",111
"Ames.irr","NorthrupKing",114
"Crossville","NorthrupKing",124
"Knoxville","NorthrupKing",163
"Milan","NorthrupKing",197
"Ames.un","Beck5912W",87
"Crossville","Beck5912W",107
"Ames.irr","Beck5912W",148
"Knoxville","Beck5912W",181
"Milan","Beck5912W",185
