"YEAR","MELANOMA","SUNSPOT"
1936,1,40
1937,.8999999761581421,115
1938,.800000011920929,100
1939,1.399999976158142,80
1940,1.2000000476837158,60
1941,1,40
1942,1.5,23
1943,1.899999976158142,10
1944,1.5,10
1945,1.5,25
1946,1.5,75
1947,1.600000023841858,145
1948,1.7999999523162842,130
1949,2.799999952316284,130
1950,2.5,80
1951,2.5,65
1952,2.4000000953674316,20
1953,2.0999999046325684,10
1954,1.899999976158142,5
1955,2.4000000953674316,10
1956,2.4000000953674316,60
1957,2.5999999046325684,190
1958,2.5999999046325684,180
1959,4.400000095367432,175
1960,4.199999809265137,120
1961,3.799999952316284,50
1962,3.4000000953674316,35
1963,3.5999999046325684,20
1964,4.099999904632568,10
1965,3.700000047683716,15
1966,4.199999809265137,30
1967,4.099999904632568,60
1968,4.099999904632568,105
1969,4,105
1970,5.199999809265137,105
1971,5.300000190734863,80
1972,5.300000190734863,65
