" year","S&Preturn"
1871,1
1872,1.111111111111111
1873,1.037037037037037
1874,1.1481481481481481
1875,1.1851851851851851
1876,1.037037037037037
1877,1
1878,1.111111111111111
1879,1.6296296296296295
1880,2.037037037037037
1881,2.185185185185185
1882,2.259259259259259
1883,2.185185185185185
1884,1.8888888888888888
1885,2.3703703703703702
1886,2.6666666666666665
1887,2.592592592592592
1888,2.6666666666666665
1889,2.8518518518518516
1890,2.5555555555555554
1891,3.148148148148148
1892,3.333333333333333
1893,2.814814814814815
1894,2.8518518518518516
1895,3
1896,3.0370370370370368
1897,3.5555555555555554
1898,4.4074074074074066
1899,4.814814814814815
1900,5.7407407407407405
1901,6.851851851851852
1902,7.185185185185184
1903,6.148148148148147
1904,8.037037037037036
1905,9.62962962962963
1906,10.25925925925926
1907,7.222222222222221
1908,10.444444444444443
1909,12.444444444444443
1910,11.444444444444443
1911,12.11111111111111
1912,13.074074074074073
1913,11.814814814814813
1914,11.370370370370368
1915,15.407407407407407
1916,16.77777777777778
1917,12.518518518518517
1918,15.703703703703704
1919,18.77777777777778
1920,15.222222222222223
1921,17.48148148148148
1922,22.185185185185183
1923,22.814814814814813
1924,28.740740740740737
1925,37.03703703703704
1926,42.11111111111111
1927,57.185185185185176
1928,83
1929,75.62962962962963
1930,56.55555555555555
1931,31.814814814814813
1932,29.148148148148145
1933,44.629629629629626
1934,43.55555555555555
1935,64
1936,84.7037037037037
1937,54.48148148148148
1938,72.07407407407408
1939,70.96296296296296
1940,63.48148148148148
1941,55.77777777777778
1942,67.48148148148147
1943,84.7037037037037
1944,101.18518518518518
1945,137.96296296296296
1946,126.25925925925927
1947,132.5185185185185
1948,139.07407407407405
1949,163.74074074074073
1950,212.92592592592592
1951,263.77777777777777
1952,312.4074074074074
1953,308.92592592592587
1954,470.9259259259259
1955,619.9629629629628
1956,662.7407407407406
1957,592.9629629629629
1958,852.2592592592592
1959,954.6666666666665
1960,958.9629629629629
1961,1216.888888888889
1962,1109.9259259259259
1963,1362.148148148148
1964,1585.9629629629628
1965,1782.2222222222222
1966,1602.185185185185
1967,1987.2962962962963
1968,2206.592592592592
1969,2019.7777777777778
1970,2100.592592592592
1971,2402.074074074074
1972,2858.37037037037
1973,2433.9259259259256
1974,1787
1975,2455.7407407407404
1976,3039.1481481481483
1977,2814.7407407407404
1978,2998.8148148148143
1979,3556.296296296296
1980,4716
1981,4481.518518518518
1982,5452.518518518518
1983,6683.333333333333
1984,7097.296296296296
1985,9357.777777777777
1986,11106.111111111111
1987,11686.037037037036
1988,13623.888888888887
1989,17949.037037037036
1990,17387.296296296296
1991,22695.96296296296
1992,24426.481481481478
1993,26887.222222222223
1994,27228.25925925926
1995,37521.11111111111
1996,46052.33333333333
1997,61445.62962962963
1998,78730.62962962962
1999,95290.74074074073
