"STANCE","COUNTRY","PQLI","REPRESS","COMPETE"
"Pro","Argentina",85,5.300000190734863,2.700000047683716
"Pro","Bolivia",39,4.300000190734863,4.099999904632568
"Pro","Guatemala",54,3.5,6.300000190734863
"Pro","Honduras",53,3,3.0999999046325684
"Pro","Paraguay",75,5.199999809265137,2.0999999046325684
"Pro","Urugray",86,4.699999809265137,1.2000000476837158
"Anti","Brazil",66,4.800000190734863,12
"Anti","Chile",79,5,15.5
"Anti","Ecuador",69,3.700000047683716,2.9000000953674316
"Anti","El_Salvador",64,4.400000095367432,5.5
"Anti","Nicaragua",55,4.300000190734863,5.599999904632568
"Anti","Panama",79,5.699999809265137,4.400000095367432
