"make","vehicle.age","passengers","cause"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,3,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,2,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,2,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,3,"Not_tire"
"Other",1,2,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,3,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,2,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,3,"Not_tire"
"Other",1,6,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,5,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,3,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,3,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,2,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,2,"Not_tire"
"Other",1,2,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,2,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,3,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,3,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,2,"Not_tire"
"Other",1,4,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,2,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,2,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,4,"Not_tire"
"Other",1,1,"Not_tire"
"Other",1,4,"Not_tire"
"Other",1,4,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
"Other",1,0,"Not_tire"
