"PERCENT","TREAT","LOCATION","PHTOLYAS"
6,"NoFilter","ThreeCreeks",7.5
4.699999809265137,"NoFilter","ThreeCreeks",7.5
.699999988079071,"NoFilter","ThreeCreeks",7.5
1.5,"NoFilter","SparksLake",7.5
.800000011920929,"NoFilter","SparksLake",7.5
2.9000000953674316,"NoFilter","SparksLake",7.5
3.9000000953674316,"NoFilter","SparksLake",7.5
38.70000076293945,"NoFilter","ThreeCreeks",2.4000000953674316
44,"NoFilter","ThreeCreeks",2.4000000953674316
30,"NoFilter","ThreeCreeks",2.4000000953674316
38.70000076293945,"NoFilter","ThreeCreeks",2.4000000953674316
36.70000076293945,"NoFilter","SmallLake",2.4000000953674316
69.5999984741211,"NoFilter","SmallLake",2.4000000953674316
39.29999923706055,"NoFilter","SmallLake",2.4000000953674316
34,"NoFilter","SmallLake",2.4000000953674316
42,"NoFilter","ThreeCreeks",1.2999999523162842
50.70000076293945,"NoFilter","ThreeCreeks",1.2999999523162842
32.70000076293945,"NoFilter","ThreeCreeks",1.2999999523162842
44,"NoFilter","ThreeCreeks",1.2999999523162842
54,"NoFilter","LostLake",1.2999999523162842
54.70000076293945,"NoFilter","LostLake",1.2999999523162842
48,"NoFilter","LostLake",1.2999999523162842
36.70000076293945,"NoFilter","LostLake",1.2999999523162842
.8999999761581421,"UV-BTransmitting","ThreeCreeks",7.5
6.699999809265137,"UV-BTransmitting","ThreeCreeks",7.5
2.700000047683716,"UV-BTransmitting","ThreeCreeks",7.5
.699999988079071,"UV-BTransmitting","ThreeCreeks",7.5
.699999988079071,"UV-BTransmitting","SparksLake",7.5
2.0999999046325684,"UV-BTransmitting","SparksLake",7.5
0,"UV-BTransmitting","SparksLake",7.5
1.399999976158142,"UV-BTransmitting","SparksLake",7.5
28.700000762939453,"UV-BTransmitting","ThreeCreeks",2.4000000953674316
32.70000076293945,"UV-BTransmitting","ThreeCreeks",2.4000000953674316
36,"UV-BTransmitting","ThreeCreeks",2.4000000953674316
40.70000076293945,"UV-BTransmitting","ThreeCreeks",2.4000000953674316
70,"UV-BTransmitting","SmallLake",2.4000000953674316
54,"UV-BTransmitting","SmallLake",2.4000000953674316
48.70000076293945,"UV-BTransmitting","SmallLake",2.4000000953674316
51.29999923706055,"UV-BTransmitting","SmallLake",2.4000000953674316
47.29999923706055,"UV-BTransmitting","ThreeCreeks",1.2999999523162842
22,"UV-BTransmitting","ThreeCreeks",1.2999999523162842
37.29999923706055,"UV-BTransmitting","ThreeCreeks",1.2999999523162842
43.29999923706055,"UV-BTransmitting","ThreeCreeks",1.2999999523162842
46,"UV-BTransmitting","LostLake",1.2999999523162842
46.70000076293945,"UV-BTransmitting","LostLake",1.2999999523162842
36,"UV-BTransmitting","LostLake",1.2999999523162842
35.29999923706055,"UV-BTransmitting","LostLake",1.2999999523162842
4.699999809265137,"UV-BBlocking","ThreeCreeks",7.5
.699999988079071,"UV-BBlocking","ThreeCreeks",7.5
4.699999809265137,"UV-BBlocking","ThreeCreeks",7.5
.699999988079071,"UV-BBlocking","ThreeCreeks",7.5
4.5,"UV-BBlocking","SparksLake",7.5
0,"UV-BBlocking","SparksLake",7.5
0,"UV-BBlocking","SparksLake",7.5
0,"UV-BBlocking","SparksLake",7.5
25.299999237060547,"UV-BBlocking","ThreeCreeks",2.4000000953674316
18.700000762939453,"UV-BBlocking","ThreeCreeks",2.4000000953674316
21.299999237060547,"UV-BBlocking","ThreeCreeks",2.4000000953674316
16.700000762939453,"UV-BBlocking","ThreeCreeks",2.4000000953674316
24.700000762939453,"UV-BBlocking","SmallLake",2.4000000953674316
25.299999237060547,"UV-BBlocking","SmallLake",2.4000000953674316
39.29999923706055,"UV-BBlocking","SmallLake",2.4000000953674316
32.70000076293945,"UV-BBlocking","SmallLake",2.4000000953674316
18.700000762939453,"UV-BBlocking","ThreeCreeks",1.2999999523162842
17.299999237060547,"UV-BBlocking","ThreeCreeks",1.2999999523162842
16,"UV-BBlocking","ThreeCreeks",1.2999999523162842
4.699999809265137,"UV-BBlocking","ThreeCreeks",1.2999999523162842
12.699999809265137,"UV-BBlocking","LostLake",1.2999999523162842
17.299999237060547,"UV-BBlocking","LostLake",1.2999999523162842
31.299999237060547,"UV-BBlocking","LostLake",1.2999999523162842
17.299999237060547,"UV-BBlocking","LostLake",1.2999999523162842
